,index,id,season,stage,date,home_team_api_id,away_team_api_id,home_team_name,away_team_name,home_team_overall,away_team_overall,home_team_potential,away_team_potential,home_build_up,away_build_up,home_def_press,away_def_press,home_goal_diff,away_goal_diff,home_matchs_won,away_matchs_won
69,69,15904,2008/2009,3,2008-08-23,8028,8322,PIG,ARK,0.805325987144169,0.7603305785123967,0.8558310376492194,0.8236914600550965,,,,,-32,-42,54,14
70,70,22936,2011/2012,34,2012-04-15,8558,10267,ESP,VAL,0.7520661157024793,0.7874196510560146,0.783287419651056,0.8223140495867768,0.37373737373737376,0.5151515151515151,0.37373737373737376,0.5151515151515151,-87,128,75,119
71,71,15916,2008/2009,4,2008-08-30,8242,1601,ODR,CHO,0.805325987144169,0.7603305785123967,0.8558310376492194,0.8236914600550965,,,,,-31,3,13,75
72,72,18941,2013/2014,20,2014-02-23,10212,9807,MAR,BEL,0.6935159677583921,0.6951679327712386,0.723048668503214,0.7207223752678298,0.37373737373737376,0.3838383838383838,0.37373737373737376,0.3838383838383838,0,-62,73,29
73,73,11172,2010/2011,23,2011-02-03,9976,8636,BAR,INT,0.7148760330578512,0.82277318640955,0.7662993572084481,0.8585858585858586,0.5555555555555556,0.5050505050505051,0.5555555555555556,0.5050505050505051,-20,126,13,122
74,74,2176,2009/2010,15,2009-12-05,8655,8650,BLB,LIV,0.7451790633608814,0.8232323232323234,0.8067033976124885,0.8659320477502296,,,,,-60,162,31,119
75,75,18026,2009/2010,26,2010-04-10,9771,10264,ULE,BRA,0.6854912764003673,0.7433425160697887,0.7254361799816345,0.768135904499541,0.5050505050505051,0.30303030303030304,0.5050505050505051,0.30303030303030304,-50,133,18,108
76,76,181,2008/2009,28,2009-04-05,9994,8635,LOK,AND,0.6873278236914601,0.7176308539944903,0.7309458218549127,0.7548209366391184,,,,,5,179,59,104
77,77,22554,2010/2011,34,2011-05-01,8581,9869,LEV,SPG,0.7346189164370983,0.7396694214876033,0.7667584940312213,0.7708907254361801,0.37373737373737376,0.5858585858585859,0.37373737373737376,0.5858585858585859,-80,-80,53,44
78,78,15384,2014/2015,6,2014-09-21,9791,8611,HER,TWE,0.6582644628099174,0.719405454253939,0.7048974594429139,0.7732520005247278,0.6060606060606061,0.4444444444444444,0.6060606060606061,0.4444444444444444,-31,165,78,120
79,79,15756,2008/2009,13,2008-11-12,8242,10265,ODR,WIS,0.805325987144169,0.7603305785123967,0.8558310376492194,0.8236914600550965,,,,,-31,72,13,83
80,80,12479,2013/2014,6,2013-09-28,10233,9875,GEN,NAP,0.7496217587126677,0.7861463911050689,0.7790721063448337,0.8134692060311894,0.46464646464646464,0.4444444444444444,0.46464646464646464,0.4444444444444444,-22,156,81,124
81,81,16869,2012/2013,30,2013-06-02,8673,8025,LEG,SLA,0.6894650217652972,0.6867403640130912,0.7255701267409257,0.7076675849403121,0.5959595959595959,0.30303030303030304,0.5959595959595959,0.30303030303030304,154,23,105,70
82,82,8409,2009/2010,8,2009-10-03,9904,8358,HAN,FRE,0.72910927456382,0.6978879706152434,0.7938475665748392,0.7575757575757577,,,,,-73,-76,67,43
83,83,20939,2013/2014,25,2014-02-01,8597,8649,KIL,ROS,0.6065459792732519,0.6120293847566574,0.662162753071844,0.6532598714416896,0.4444444444444444,0.3939393939393939,0.4444444444444444,0.3939393939393939,-67,-36,72,38
84,84,24385,2015/2016,28,2016-03-06,9869,8315,SPG,BIL,0.7525252525252525,0.8054407713498624,0.8061524334251607,0.8203244566880931,0.45454545454545453,0.494949494949495,0.45454545454545453,0.494949494949495,-80,-3,44,89
85,85,22700,2011/2012,13,2011-11-20,9906,8581,AMA,LEV,0.7819100091827362,0.7314049586776861,0.837465564738292,0.7603305785123967,0.5858585858585859,0.37373737373737376,0.5858585858585859,0.37373737373737376,180,-80,126,53
86,86,21570,2008/2009,14,2008-12-07,8661,8479,MAL,HUE,0.7617079889807162,0.7346189164370983,0.800734618916437,0.7644628099173553,,,,,-13,-13,61,7
87,87,16824,2012/2013,25,2013-05-05,8025,8023,SLA,POG,0.6828895010713191,0.7109869622266316,0.6982552800734619,0.728609789353591,0.30303030303030304,0.47474747474747475,0.30303030303030304,0.47474747474747475,23,8,70,35
88,88,3689,2013/2014,15,2013-12-08,9825,8668,ARS,EVE,0.812412065029145,0.7760126517702275,0.8424223873259685,0.8153723380996106,0.6464646464646465,0.41414141414141414,0.6464646464646465,0.41414141414141414,205,67,144,96
89,89,22864,2011/2012,28,2012-03-17,8302,8634,SEV,BAR,0.7791551882460973,0.8728191000918275,0.7966023875114785,0.8985307621671257,0.3838383838383838,0.6666666666666666,0.3838383838383838,0.6666666666666666,32,463,101,175
90,90,3227,2011/2012,7,2011-10-02,8586,9825,TOT,ARS,0.8181818181818182,0.8067033976124885,0.8466483011937559,0.8544536271808998,0.30303030303030304,0.5050505050505051,0.30303030303030304,0.5050505050505051,101,205,121,144
91,91,18596,2011/2012,9,2011-10-28,9773,6403,POR,FER,0.790174471992654,0.6841138659320478,0.8356290174471991,0.7281910009182737,0.5555555555555556,0.45454545454545453,0.5555555555555556,0.45454545454545453,296,-41,139,68
92,92,6658,2012/2013,8,2012-10-07,8592,9847,MAR,PSG,0.7759412304866852,0.8067033976124883,0.8126721763085399,0.8420569329660239,0.4444444444444444,0.494949494949495,0.4444444444444444,0.494949494949495,124,242,114,139
93,93,20344,2010/2011,4,2010-09-11,10251,8066,HIB,INV,0.6813590449954086,0.6239669421487603,0.7066115702479339,0.6740128558310375,0.6060606060606061,,0.6060606060606061,,-54,-22,53,79
94,94,25448,2013/2014,10,2013-09-29,10199,10191,LUZ,THU,0.6429752066115701,0.6153045607591062,0.6911736411736412,0.6627180899908173,0.48484848484848486,0.47474747474747475,0.48484848484848486,0.47474747474747475,5,4,77,58
95,95,2988,2011/2012,2,2011-08-21,8602,9879,WOL,FUL,0.7447199265381084,0.7754820936639117,0.782828282828283,0.8108356290174471,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,-43,-37,21,53
96,96,17645,2008/2009,1,2008-08-23,6403,10264,FER,BRA,0.805325987144169,0.7603305785123967,0.8558310376492194,0.8236914600550965,,,,,-41,133,68,108
97,97,19967,2009/2010,16,2009-12-19,8597,8596,KIL,FAL,0.6382001836547291,0.6565656565656565,0.7038567493112947,0.7281910009182737,,,,,-67,-29,72,11
98,98,2707,2010/2011,29,2011-03-05,8559,10252,BOL,AVL,0.7745638200183655,0.7750229568411388,0.810835629017447,0.8296602387511478,0.40404040404040403,0.35353535353535354,0.40404040404040403,0.35353535353535354,-57,-102,36,68
99,99,15217,2014/2015,2,2014-08-17,8674,9791,GRO,HER,0.6880930517294154,0.6682736455463728,0.721610039791858,0.7062748699112337,0.494949494949495,0.6060606060606061,0.494949494949495,0.6060606060606061,-27,-31,76,78
100,100,1090,2012/2013,2,2012-08-03,9989,9985,LIE,STL,0.6363636363636364,0.7089072543617998,0.6730945821854913,0.7410468319559229,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,-100,76,16,85
101,101,22252,2009/2010,7,2009-10-18,8315,9869,BIL,SPG,0.7208448117539027,0.7125803489439853,0.7777777777777778,0.7571166207529845,,,,,-3,-80,89,44
102,102,22265,2009/2010,8,2009-10-25,8696,8371,SAN,OSA,0.7548209366391186,0.7419651056014692,0.7966023875114785,0.7897153351698806,,,,,-51,-52,27,50
